"This","To","That"
"ORGANISM","Has_a","GENE"
"CLUSTER","Was_clusterized","GENE"
"GENE","PPI_interaction","GENE"
"PLATFORM","Has","GENE"
"EXPERIMENT","Was_normalized","GENE"
"EXPERIMENT","Was_selected","GENE"
"GENE","Has_a","ORGANISM"
"PLATFORM","Tech_Used","EXPERIMENT"
"GENE","Was_normalized","EXPERIMENT"
"GENE","Was_selected","EXPERIMENT"
"CLUSTER","Belong","EXPERIMENT"
"EXPERIMENT","Tech_Used","PLATFORM"
"GENE","Has","PLATFORM"
"EXPERIMENT","Belong","CLUSTER"
"GENE","Was_clusterized","CLUSTER"
"BP","Was_represented","CLUSTER"
"CLUSTER","Was_represented","BP"
